"Data Source","Indicateurs du développement dans le monde",
"Grèce","GRC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","","0.4","","0.71","","0.68","","1.23","","1.19","","1.41","","1.78","","2.08","","1.63","","1.22","",
"Grenade","GRD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.41","","0.41","","0.68","","0.89","","1.34","","1.02","","1.07","","","","1.04","",
"Groenland","GRL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","0.28","","","0.32","","0.42","","0.32","","0.63","","0.64","","0.82","","0.85","","1.04","","0.9","","0.65","",
"Guam","GUM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyane","GUY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.37","","0.27","","0.61","","","","0.85","","0.85","","1.05","","1.11","","0.78","",
"Revenu élevé","HIC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","","0.64","","0.65","","0.96","","1.19","","1.32","","1.49","","1.76","","1.57","","1.135","",
"Chine, RAS de Hong Kong","HKG","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.57","","","","0.74","","","0.85","","0.8","","0.77","","1","","1.06","","1.16","","1.32","","1.57","","1.56","","1.42","",
"Honduras","HND","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","0.25","","","0.3","","0.46","","0.46","","0.66","","0.73","","0.8","","0.92","","1.15","","1.03","","0.8","",
"Pays pauvres très endettés (PPTE)","HPC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.57","","","0.48","","","0.45","","0.47","","0.5","","0.8","","1","","1.05","","1.11","","1.22","","1.17","","0.88","",
"Croatie","HRV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","","0.61","","0.6","","0.74","","1.13","","1.22","","1.37","","1.49","","1.7","","1.59","","1.17","",
"Haïti","HTI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","0.35","","0.3","","0.6","","","","0.89","","","","1.03","","0.94","","0.62","",
"Hongrie","HUN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65","","","0.64","","0.79","","0.85","","1.22","","1.31","","1.38","","1.61","","1.91","","1.65","","1.2","",
"BIRD seulement","IBD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.28","","0.365","","0.34","","0.505","","0.705","","0.84","","0.955","","1.17","","1.06","","0.71","",
"BIRD et IDA","IBT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305","","0.39","","0.38","","0.61","","0.805","","0.95","","0.98","","1.205","","1.1","","0.8","",
"IDA totale","IDA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","0.42","","0.41","","0.68","","0.875","","1.035","","1.03","","1.22","","1.135","","0.83","",
"IDA mélange","IDB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","0.38","","0.37","","0.65","","0.87","","1.05","","1.03","","1.21","","1.135","","0.81","",
"Indonésie","IDN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","","","0.2","","","0.07","","0.06","","0.19","","0.18","","0.44","","0.42","","0.51","","0.47","","0.62","","0.61","",
"IDA seulement","IDX","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.365","","0.45","","0.435","","0.72","","0.88","","1.02","","1.03","","1.22","","1.14","","0.845","",
"Île de Man","IMN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Inde","IND","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","","","0.19","","","0.21","","0.39","","0.41","","0.62","","0.75","","0.7","","0.82","","0.86","","0.91","","0.81","",
"Non classifié","INX","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlande","IRL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.87","","","1.02","","0.72","","0.8","","1.29","","1.35","","1.64","","1.69","","1.98","","1.84","","1.29","",
"Iran, République islamique d’","IRN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","0.02","","0.02","","0.02","","0.03","","0.03","","0.016","","0.124","","0.187","","0.216","",
"Iraq","IRQ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","","","0.7","",
"Islande","ISL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","0.45","","0.62","","0.88","","1.78","","1.31","","1.71","","2.06","","1.86","","1.63","",
"Israël","ISR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","0.31","","0.64","","0.62","","0.8","","1.27","","1.7","","1.87","","2.12","","2.08","","","",
"Italie","ITA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","","0.93","","0.83","","0.86","","1.31","","1.49","","1.63","","1.69","","2.18","","2.01","","1.44","",
"Jamaïque","JAM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","0.49","","0.44","","0.57","","0.75","","0.84","","0.98","","1.19","","1.06","","","",
"Jordanie","JOR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","0.15","","0.15","","0.17","","0.19","","0.45","","0.61","","0.73","","0.97","","0.82","","0.64","",
"Japon","JPN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","0.69","","0.76","","0.66","","0.95","","0.9","","1.3","","1.37","","1.61","","1.1","","0.88","",
"Kazakhstan","KAZ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","0.29","","0.29","","0.38","","0.45","","0.72","","0.51","","0.67","","0.64","","0.4","",
"Kenya","KEN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","0.33","","","0.43","","","0.54","","0.6","","0.56","","0.76","","0.98","","1.14","","1.27","","1.26","","1.07","","0.82","",
"République kirghize","KGZ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.33","","0.25","","0.43","","0.54","","0.88","","0.79","","","","0.76","","0.49","",
"Cambodge","KHM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","0.44","","0.44","","0.61","","0.78","","0.89","","0.98","","1.27","","1.24","","0.8","",
"Kiribati","KIR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saint-Kitts-et-Nevis","KNA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Corée, République de","KOR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","0.33","","","0.41","","0.66","","0.64","","0.95","","1.33","","1.4","","1.35","","1.63","","1.37","","1.05","",
"Koweït","KWT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","0.18","","0.18","","0.24","","0.21","","0.2","","0.21","","0.2","","0.19","","0.31","",
"Amérique latine et Caraïbes (hors revenu élevé)","LAC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.3","","0.405","","0.375","","0.57","","0.75","","0.83","","0.975","","1.17","","1.04","","0.75","",
"République démocratique populaire lao","LAO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","0.32","","0.3","","0.48","","0.73","","0.76","","0.97","","1.18","","1.08","","0.8","",
"Liban","LBN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","0.31","","0.25","","0.43","","0.62","","0.76","","0.77","","0.94","","0.73","","0.47","",
"Libéria","LBR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77","","0.85","","1.03","","0.96","","1.22","","0.94","","0.83","",
"Libye","LBY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","","0.16","","0.08","","0.08","","0.06","","0.12","","0.13","","0.1","","","","0.11","",
"Sainte-Lucie","LCA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Amérique latine et Caraïbes","LCN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","0.41","","0.375","","0.575","","0.75","","0.84","","0.98","","1.18","","1.05","","0.745","",
"Pays les moins avancés : classement de l’ONU","LDC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.555","0.59","","","","","","0.395","","0.44","","0.45","","0.75","","0.98","","1.045","","1.07","","1.25","","1.2","","0.84","",
"Faible revenu","LIC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585","0.58","","","0.48","","","0.465","","0.475","","0.48","","0.79","","1","","1.06","","1.155","","1.26","","1.2","","0.86","",
"Liechtenstein","LIE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","0.84","","0.93","","1.37","","1.36","","1.52","","1.77","","2.06","","1.79","","","",
"Sri Lanka","LKA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","","0.23","","","0.3","","0.27","","0.31","","0.41","","0.55","","0.75","","0.66","","0.93","","0.9","","0.65","",
"Revenu intermédiaire, tranche inférieure","LMC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","0.34","","0.345","","0.59","","0.75","","0.86","","0.9","","1.17","","1.035","","0.8","",
"Revenu faible et intermédiaire","LMY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305","","0.39","","0.39","","0.61","","0.8","","0.95","","0.98","","1.2","","1.1","","0.795","",
"Lesotho","LSO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.47","","","","0.68","","0.88","","0.93","","1.07","","1.31","","1.07","","0.73","",
"de dividende tardif démographique","LTE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.35","","0.345","","0.565","","0.78","","1.02","","1.005","","1.23","","1.11","","0.69","",
"Lituanie","LTU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","0.34","","0.55","","0.59","","1.02","","1.09","","1.22","","1.42","","1.7","","1.5","","1.05","",
"Luxembourg","LUX","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","0.61","","0.67","","0.65","","0.98","","1.14","","1.33","","1.36","","1.64","","1.39","","1.03","",
"Lettonie","LVA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","","0.35","","0.58","","0.65","","0.9","","1.15","","1.23","","1.49","","1.77","","1.49","","1.07","",
"Région administrative spéciale de Macao, Chine","MAC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saint-Martin (fr)","MAF","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maroc","MAR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","0.41","","","0.47","","","0.47","","0.53","","0.55","","0.7","","0.87","","0.83","","0.88","","0.96","","1.11","","0.86","",
"Monaco","MCO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","","1.69","","2.04","","1.78","","","",
"Moldova","MDA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04","","1.08","","1.4","","1.16","","0.69","",
"Madagascar","MDG","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","0.31","","","0.32","","","0.33","","0.45","","0.65","","0.79","","1","","1.43","","1.26","","1.22","","1.09","","0.93","",
"Maldives","MDV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.83","","1.09","","0.98","","","",
"Afrique du Nord et Moyen-Orient","MEA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","0.195","","0.185","","0.19","","0.28","","0.455","","0.45","","0.425","","0.66","","0.49","",
"Mexique","MEX","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.25","","","0.28","","0.45","","0.47","","0.45","","0.52","","0.54","","0.72","","0.85","","1.02","","0.72","",
"Îles Marshall","MHL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.47","","","",
"Revenu intermédiaire","MIC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","0.355","","0.35","","0.57","","0.75","","0.885","","0.95","","1.175","","1.07","","0.77","",
"Macédoine, ex-République yougoslave de","MKD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","","0.46","","0.56","","0.63","","0.92","","1.09","","1.12","","1.27","","1.55","","1.27","","0.88","",
"Mali","MLI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","0.74","","","0.57","","","0.48","","0.43","","0.55","","0.9","","1.04","","1.1","","1.25","","1.25","","1.29","","0.98","",
"Malte","MLT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.44","","0.53","","0.97","","1.26","","1.56","","1.66","","1.75","","1.7","","1.22","",
"Myanmar","MMR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12","","0.12","","0.28","","0.1","","0.75","","0.52","","0.8","","","","0.93","","0.51","",
"Afrique du Nord et Moyen-Orient (hors revenu élevé)","MNA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","0.15","","0.17","","0.15","","0.28","","0.53","","0.56","","0.58","","0.7","","0.63","",
"Monténégro","MNE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.43","","0.56","","0.66","","1.06","","1.27","","1.21","","1.49","","1.75","","1.49","","1.02","",
"Mongolie","MNG","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","0.38","","0.37","","0.67","","0.87","","1.42","","1.04","","1.22","","0.96","","0.67","",
"Mariannes","MNP","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","0.21","","","0.32","","","0.41","","0.54","","0.43","","0.79","","1.06","","1.37","","0.86","","1.23","","1.2","","0.6","",
"Mauritanie","MRT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.43","","","","","","0.31","","0.4","","0.39","","0.59","","0.84","","1.06","","0.99","","1.27","","1.35","","1.09","",
"Maurice","MUS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23","","1.38","","1.38","","0.85","",
"Malawi","MWI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","0.67","","","0.55","","","0.45","","0.68","","0.62","","0.88","","1.12","","1.67","","1.54","","1.9","","1.8","","1.14","",
"Malaisie","MYS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","","","0.26","","","0.17","","0.16","","0.19","","0.22","","0.4","","0.53","","0.56","","0.59","","0.65","","0.44","",
"Amérique du Nord","NAC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.335","","","0.345","","","0.33","","0.475","","0.41","","0.625","","0.735","","0.84","","0.96","","1.14","","1.065","","0.69","",
"Namibie","NAM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","0.38","","","","","","0.36","","0.44","","0.43","","0.65","","0.87","","0.88","","1.09","","1.31","","1.12","","0.74","",
"Nouvelle-Calédonie","NCL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.6","","","0.55","","","0.52","","0.48","","0.55","","0.91","","1.11","","0.97","","1.16","","1.12","","1.03","","0.88","",
"Nigéria","NGA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","0.01","","","0.03","","","0.1","","0.27","","0.19","","0.45","","0.66","","1.13","","0.77","","1.09","","0.84","","0.64","",
"Nicaragua","NIC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","0.31","","","0.35","","0.54","","0.41","","0.64","","0.58","","0.82","","0.99","","1.19","","1.04","","0.75","",
"Pays-Bas","NLD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","","","0.79","","0.78","","0.81","","1.23","","1.32","","1.45","","1.71","","1.95","","1.8","","1.34","",
