"Data Source","Indicateurs du développement dans le monde",
"Norvège","NOR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09","","","1.1","","1.15","","1.18","","1.44","","1.66","","1.63","","2.01","","2.35","","2.11","","1.63","",
"Népal","NPL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","","0.22","","","0.24","","0.37","","0.34","","0.49","","0.73","","0.82","","0.91","","1.09","","1.04","","0.68","",
"Nauru","NRU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.57","","","","","","","",
"Nouvelle-Zélande","NZL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.39","","0.34","","0.33","","0.41","","0.7","","0.85","","0.97","","1.24","","1.11","","0.79","",
"Pays membres de l'OCDE","OED","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.665","","","0.64","","0.68","","0.71","","1.1","","1.29","","1.4","","1.61","","1.87","","1.63","","1.2","",
"Oman","OMN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.29","","0.26","","0.26","","0.39","","0.38","","0.38","","0.38","","0.38","","0.49","",
"Autres petits états","OSS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","0.44","","","","0.69","","0.88","","1.02","","1.08","","1.31","","1.25","","0.81","",
"Pakistan","PAK","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","0.19","","0.27","","0.35","","0.41","","0.64","","0.77","","0.92","","1.2","","1.01","","0.7","",
"Panama","PAN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","","","0.28","","0.41","","0.36","","0.48","","0.6","","0.68","","0.77","","1.02","","0.85","","0.61","",
"Pérou","PER","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.43","","","0.33","","0.54","","0.48","","0.76","","0.86","","0.99","","1.1","","1.41","","1.17","","0.88","",
"Philippines","PHL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","0.27","","","0.22","","0.28","","0.27","","0.34","","0.67","","0.81","","0.84","","1.01","","0.82","","0.58","",
"Palaos","PLW","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papouasie-Nouvelle-Guinée","PNG","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","0.34","","","","0.64","","","","0.9","","","","","","1.13","","","",
"Pologne","POL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42","","","0.44","","0.65","","0.68","","1.09","","1.3","","1.4","","1.5","","1.73","","1.39","","1.04","",
"de Pré-dividende démographique","PRE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.57","0.58","","","0.525","","","0.48","","0.47","","0.545","","0.82","","1","","1.14","","1.135","","1.26","","1.2","","0.88","",
"Porto Rico","PRI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Corée, République démocratique de","PRK","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.35","","0.41","","0.61","","0.79","","0.95","","","","1.31","","","","0.73","",
"Portugal","PRT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71","","0.54","","0.71","","1.08","","1.1","","1.47","","1.58","","1.89","","1.64","","1.3","",
"Paraguay","PRY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","0.28","","","0.24","","0.34","","0.34","","0.51","","0.77","","0.96","","1.01","","1.31","","1.16","","0.74","",
"Cisjordanie et Gaza","PSE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.61","","0.52","","0.7","","0.98","","1.25","","1.54","","1.68","","1.63","","1.41","",
"Petits états insulaires du Pacifique","PSS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"de Post-dividende démographique","PST","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","","0.63","","0.675","","0.71","","1.07","","1.21","","1.375","","1.55","","1.75","","1.57","","1.185","",
"Polynésie française","PYF","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19","","1.39","","1.56","","","","","","","",
"Qatar","QAT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","0.16","","0.19","","","","0.19","","0.27","","0.41","","0.38","",
"Roumanie","ROU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","","0.4","","0.35","","0.57","","0.91","","1.24","","1.22","","1.46","","1.73","","1.71","","1.14","",
"Fédération de Russie","RUS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.18","","0.29","","0.25","","0.45","","0.66","","0.86","","0.72","","1","","0.75","","0.55","",
"Rwanda","RWA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","0.88","","","","","","0.72","","0.84","","0.84","","0.99","","1.08","","1.37","","1.62","","1.73","","1.41","","1.13","",
"Asie du Sud","SAS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","","0.25","","0.33","","0.325","","0.49","","0.645","","0.76","","0.825","","1.01","","0.945","","0.7","",
"Arabie saoudite","SAU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","","0.1","","0.1","","0.1","","0.1","","0.07","","0.09","","0.067","","0.067","","0.07","","0.12","",
"Soudan","SDN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","0.58","","","0.25","","","0.26","","0.24","","0.24","","0.29","","0.49","","0.45","","0.43","","0.42","","0.55","","0.61","",
"Sénégal","SEN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","0.88","","","0.62","","","0.48","","0.52","","0.53","","0.9","","1.09","","1.26","","1.34","","1.53","","1.51","","0.97","",
"Singapour","SGP","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","","0.33","","","0.36","","0.38","","0.38","","0.55","","0.63","","0.9","","1.04","","1.26","","1.16","","0.77","",
"Îles Salomon","SLB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","0.44","","","","","","0.53","","","","0.5","","0.89","","0.98","","0.91","","0.94","","1.05","","1.04","","1.08","",
"El Salvador","SLV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","0.4","","0.33","","0.58","","0.8","","0.81","","0.89","","1.17","","1.02","","0.7","",
"Saint-Marin","SMR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalie","SOM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","0.89","","0.67","","1.15","","","","","","","","1.18","",
"Serbie","SRB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.43","","0.56","","0.66","","0.85","","1.35","","1.14","","1.48","","1.8","","1.66","","1.21","",
"Afrique subsaharienne (hors revenu élevé)","SSA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.54","","","0.46","","","0.43","","0.465","","0.53","","0.79","","0.985","","1.065","","1.145","","1.27","","1.17","","0.855","",
"Soudan du Sud","SSD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","","1.25","","1.07","","1.97","","1.98","","0.28","",
"Afrique subsaharienne","SSF","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.54","","","0.46","","","0.43","","0.465","","0.53","","0.79","","0.985","","1.065","","1.145","","1.27","","1.17","","0.855","",
"Petits états","SST","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","","","","1.07","","1.29","","","","0.815","",
"Sao Tomé-et-Principe","STP","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.41","","0.41","","0.5","","0.94","","","","1.12","","1.52","","1.34","","","",
"République slovaque","SVK","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.54","","0.68","","0.7","","1.19","","1.43","","1.68","","1.53","","1.85","","1.61","","1.16","",
"Slovénie","SVN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","0.64","","0.66","","0.67","","1.11","","1.21","","1.26","","1.62","","1.77","","1.68","","1.21","",
"Suède","SWE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01","","","0.84","","0.8","","0.96","","1.37","","1.44","","1.52","","1.82","","2.16","","1.82","","1.42","",
"Eswatini","SWZ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","0.4","","","","","","0.36","","0.44","","","","0.73","","0.85","","0.93","","1.1","","1.34","","1.16","","0.77","",
"Sint Maarten (Dutch part)","SXM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"République arabe syrienne","SYR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","","0.13","","0.18","","0.13","","0.13","","0.53","","0.45","","0.36","","0.47","","","",
"Îles Turques-et-Caïques","TCA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tchad","TCD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97","0.95","","","0.7","","","0.61","","0.6","","0.77","","1.01","","1.2","","1.32","","1.31","","1.16","","0.99","","0.85","",
"Asie de l’Est et Pacifique (BIRD et IDA)","TEA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.245","","","","","","0.43","","0.7","","0.81","","0.95","","","","1.02","","0.675","",
"Europe et Asie centrale (BIRD et IDA)","TEC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.335","","0.36","","0.46","","0.76","","0.985","","1.12","","1.13","","1.55","","1.27","","0.88","",
"Togo","TGO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","0.63","","","0.4","","","0.37","","0.4","","0.46","","0.83","","1.01","","0.88","","1.17","","1.22","","1.29","","0.71","",
"Thaïlande","THA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","0.3","","","0.27","","0.35","","0.32","","0.37","","0.65","","0.64","","0.95","","0.97","","0.9","","0.68","",
"Tadjikistan","TJK","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","0.55","","0.24","","0.59","","0.74","","1","","0.91","","","","1.18","","0.69","",
"Turkménistan","TKM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","0.02","","0.01","","0.01","","0.01","","0.2","","0.2","","0.2","","0.2","","0.27","",
"Amérique latine et Caraïbes (BIRD et IDA)","TLA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.3","","0.41","","0.35","","0.575","","0.74","","0.82","","0.975","","1.175","","1.04","","0.745","",
"Timor-Leste","TLS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65","","0.88","","1.35","","0.9","","1.43","","1.6","","0.8","",
"Afrique du Nord et Moyen-Orient (BIRD et IDA)","TMN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.155","","0.15","","0.135","","0.14","","0.235","","0.365","","0.505","","0.47","","0.69","","0.62","",
"Tonga","TON","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asie du Sud (BIRD et IDA)","TSA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","","0.25","","0.33","","0.325","","0.49","","0.645","","0.76","","0.825","","1.01","","0.945","","0.7","",
"Afrique subsaharienne (BIRD et IDA)","TSS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.54","","","0.46","","","0.43","","0.465","","0.53","","0.79","","0.985","","1.065","","1.145","","1.27","","1.17","","0.855","",
"Trinité-et-Tobago","TTO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","0.2","","0.21","","0.24","","0.24","","","","","","","","","","0.3","",
"Tunisie","TUN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","0.31","","","0.44","","","0.33","","0.29","","0.19","","0.39","","0.57","","0.84","","0.82","","0.69","","0.68","","0.62","",
"Turquie","TUR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","","0.47","","0.66","","0.78","","1.12","","1.62","","1.63","","2.03","","2.33","","1.9","","1.23","",
"Tuvalu","TUV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzanie","TZA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","0.3","","","0.44","","","0.57","","0.73","","0.61","","0.87","","0.99","","1.3","","1.19","","1.27","","1.2","","0.8","",
"Ouganda","UGA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.71","","","0.85","","","0.68","","0.75","","0.7","","0.88","","1.01","","1.22","","1.11","","1.35","","1.11","","0.79","",
"Ukraine","UKR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","0.3","","0.34","","0.44","","0.87","","0.96","","0.92","","1.25","","1.16","","0.73","",
"Revenu intermédiaire, tranche supérieure","UMC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.36","","0.36","","0.56","","0.745","","0.92","","0.98","","1.18","","1.09","","0.74","",
"Uruguay","URY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","","0.42","","0.53","","0.2","","0.71","","0.94","","1.17","","1.44","","1.88","","1.72","","1.36","",
"États-Unis","USA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","0.33","","","0.27","","0.48","","0.39","","0.57","","0.69","","0.78","","0.84","","1.05","","0.97","","0.65","",
"Ouzbékistan","UZB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","0.09","","0.09","","0.26","","0.3","","0.54","","0.75","","0.83","","0.87","","1.93","","1.28","",
"Saint-Vincent-et-les Grenadines","VCT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela","VEN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","0.08","","0.06","","0.05","","0.02","","0.02","","0.01","","0.011","","0.011","","0.008","","","",
"Îles Vierges britanniques","VGB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Vierges (EU)","VIR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","0.26","","0.27","","0.27","","0.32","","0.53","","0.77","","0.77","","1.06","","0.91","","0.59","",
"Vanuatu","VUT","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","",
"Monde","WLD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","0.45","","0.43","","0.67","","0.86","","1.03","","1.07","","1.265","","1.17","","0.82","",
"Samoa","WSM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06","","","","","","0.87","",
"Kosovo","XKX","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.43","","0.56","","0.66","","1.03","","1.19","","1.21","","1.6","","1.6","","1.55","","1.06","",
"Yémen, Rép. du","YEM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","","0.06","","0.1","","0.09","","0.28","","0.17","","0.23","","0.47","","0.7","","0.76","",
"Afrique du Sud","ZAF","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","","0.46","","","0.39","","0.5","","0.4","","0.8","","0.84","","0.95","","1.14","","1.42","","1.17","","0.9","",
"Zambie","ZMB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","0.66","","","0.57","","","0.49","","","","0.6","","0.98","","1.22","","1.61","","1.52","","1.48","","1.59","","1.16","",
"Zimbabwe","ZWE","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","0.28","","","0.29","","","0.22","","0.72","","0.05","","0.65","","","","1.05","","1.15","","1.4","","1.48","","1.18","",
